step,mloss,gloss,loss
71500,0.2954,0.8278,1.1232
71600,0.2978,0.8283,1.1261
71700,0.2967,0.8288,1.1255
71800,0.2964,0.828,1.1244
71900,0.2974,0.8271,1.1244999999999998
72000,0.2974,0.8279,1.1253
72100,0.2974,0.8283,1.1257000000000001
72200,0.2976,0.8276,1.1252
72300,0.2978,0.8275,1.1253
72400,0.2971,0.8287,1.1258
72500,0.2966,0.8277,1.1242999999999999
72600,0.2967,0.8278,1.1245
72700,0.2987,0.8282,1.1269
72800,0.2964,0.8275,1.1239
72900,0.2966,0.828,1.1246
73000,0.297,0.8286,1.1256
73100,0.2973,0.8264,1.1237
73200,0.2967,0.8275,1.1242
73300,0.2955,0.8284,1.1239
73400,0.2973,0.83,1.1273
73500,0.2971,0.8288,1.1259
73600,0.2955,0.8264,1.1219000000000001
73700,0.297,0.8276,1.1246
73800,0.2976,0.828,1.1256
73900,0.2974,0.8295,1.1269
74000,0.2969,0.8292,1.1261
74100,0.2983,0.8285,1.1268
74200,0.2971,0.8302,1.1273
74300,0.2968,0.8276,1.1244
74400,0.2971,0.8298,1.1269
74500,0.2964,0.8279,1.1242999999999999
74600,0.2981,0.8279,1.126
74700,0.2957,0.8271,1.1228
74800,0.2965,0.8285,1.125
74900,0.2972,0.8273,1.1245
75000,0.2972,0.8269,1.1240999999999999
75100,0.2968,0.8276,1.1244
75200,0.2968,0.8289,1.1257
75300,0.296,0.8296,1.1256
75400,0.295,0.8292,1.1242
75500,0.2964,0.8297,1.1261
75600,0.2959,0.8285,1.1244
75700,0.295,0.8274,1.1224
75800,0.2972,0.8286,1.1258
75900,0.2982,0.8292,1.1274000000000002
76000,0.297,0.8283,1.1253
76100,0.2972,0.828,1.1252
76200,0.2987,0.8283,1.127
76300,0.297,0.8258,1.1228
76400,0.2975,0.8285,1.126
76500,0.2979,0.815,1.1129
